county,precinct,office,district,party,candidate,votetype,votes
Allegheny,Baldwin Tp Dist 1,US President,NA,DEM,Kamala D. Harris,total,394
Allegheny,Baldwin Tp Dist 1,US President,NA,REP,Donald J. Trump,total,292
Allegheny,Baldwin Tp Dist 1,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Tp Dist 1,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Tp Dist 1,US President,NA,WRI,Write-in,total,1
Allegheny,Baldwin Tp Dist 2,US President,NA,DEM,Kamala D. Harris,total,327
Allegheny,Baldwin Tp Dist 2,US President,NA,REP,Donald J. Trump,total,289
Allegheny,Baldwin Tp Dist 2,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Tp Dist 2,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Tp Dist 2,US President,NA,WRI,Write-in,total,2
Allegheny,Bell Acres,US President,NA,DEM,Kamala D. Harris,total,483
Allegheny,Bell Acres,US President,NA,REP,Donald J. Trump,total,489
Allegheny,Bell Acres,US President,NA,GRN,Jill Stein,total,5
Allegheny,Bell Acres,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Bell Acres,US President,NA,WRI,Write-in,total,7
Allegheny,Bellevue Ward 1 Dist 1,US President,NA,DEM,Kamala D. Harris,total,482
Allegheny,Bellevue Ward 1 Dist 1,US President,NA,REP,Donald J. Trump,total,222
Allegheny,Bellevue Ward 1 Dist 1,US President,NA,GRN,Jill Stein,total,4
Allegheny,Bellevue Ward 1 Dist 1,US President,NA,LIB,Chase Oliver,total,6
Allegheny,Bellevue Ward 1 Dist 1,US President,NA,WRI,Write-in,total,3
Allegheny,Bellevue Ward 1 Dist 2,US President,NA,DEM,Kamala D. Harris,total,529
Allegheny,Bellevue Ward 1 Dist 2,US President,NA,REP,Donald J. Trump,total,199
Allegheny,Bellevue Ward 1 Dist 2,US President,NA,GRN,Jill Stein,total,3
Allegheny,Bellevue Ward 1 Dist 2,US President,NA,LIB,Chase Oliver,total,6
Allegheny,Bellevue Ward 1 Dist 2,US President,NA,WRI,Write-in,total,5
Allegheny,Bellevue Ward 2 Dist 1,US President,NA,DEM,Kamala D. Harris,total,518
Allegheny,Bellevue Ward 2 Dist 1,US President,NA,REP,Donald J. Trump,total,251
Allegheny,Bellevue Ward 2 Dist 1,US President,NA,GRN,Jill Stein,total,6
Allegheny,Bellevue Ward 2 Dist 1,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Bellevue Ward 2 Dist 1,US President,NA,WRI,Write-in,total,9
Allegheny,Bellevue Ward 2 Dist 2,US President,NA,DEM,Kamala D. Harris,total,482
Allegheny,Bellevue Ward 2 Dist 2,US President,NA,REP,Donald J. Trump,total,243
Allegheny,Bellevue Ward 2 Dist 2,US President,NA,GRN,Jill Stein,total,2
Allegheny,Bellevue Ward 2 Dist 2,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Bellevue Ward 2 Dist 2,US President,NA,WRI,Write-in,total,8
Allegheny,Bellevue Ward 3 Dist 1,US President,NA,DEM,Kamala D. Harris,total,548
Allegheny,Bellevue Ward 3 Dist 1,US President,NA,REP,Donald J. Trump,total,218
Allegheny,Bellevue Ward 3 Dist 1,US President,NA,GRN,Jill Stein,total,3
Allegheny,Bellevue Ward 3 Dist 1,US President,NA,LIB,Chase Oliver,total,6
Allegheny,Bellevue Ward 3 Dist 1,US President,NA,WRI,Write-in,total,6
Allegheny,Bellevue Ward 3 Dist 2,US President,NA,DEM,Kamala D. Harris,total,480
Allegheny,Bellevue Ward 3 Dist 2,US President,NA,REP,Donald J. Trump,total,272
Allegheny,Bellevue Ward 3 Dist 2,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bellevue Ward 3 Dist 2,US President,NA,LIB,Chase Oliver,total,5
