county,precinct,office,district,party,candidate,votetype,votes
Allegheny,Marshall Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,Marshall Dist 3,US President,NA,LIB,Chase Oliver,absentee,2
Allegheny,Marshall Dist 3,US President,NA,WRI,Write-in,absentee,0
Allegheny,Marshall Dist 4,US President,NA,DEM,Kamala D. Harris,absentee,266
Allegheny,Marshall Dist 4,US President,NA,REP,Donald J. Trump,absentee,143
Allegheny,Marshall Dist 4,US President,NA,GRN,Jill Stein,absentee,3
Allegheny,Marshall Dist 4,US President,NA,LIB,Chase Oliver,absentee,4
Allegheny,Marshall Dist 4,US President,NA,WRI,Write-in,absentee,3
Allegheny,Marshall Dist 5,US President,NA,DEM,Kamala D. Harris,absentee,195
Allegheny,Marshall Dist 5,US President,NA,REP,Donald J. Trump,absentee,109
Allegheny,Marshall Dist 5,US President,NA,GRN,Jill Stein,absentee,12
Allegheny,Marshall Dist 5,US President,NA,LIB,Chase Oliver,absentee,3
Allegheny,Marshall Dist 5,US President,NA,WRI,Write-in,absentee,1
Allegheny,Marshall Dist 6,US President,NA,DEM,Kamala D. Harris,absentee,204
Allegheny,Marshall Dist 6,US President,NA,REP,Donald J. Trump,absentee,113
Allegheny,Marshall Dist 6,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,Marshall Dist 6,US President,NA,LIB,Chase Oliver,absentee,3
Allegheny,Marshall Dist 6,US President,NA,WRI,Write-in,absentee,2
Allegheny,Marshall Dist 7,US President,NA,DEM,Kamala D. Harris,absentee,237
Allegheny,Marshall Dist 7,US President,NA,REP,Donald J. Trump,absentee,180
Allegheny,Marshall Dist 7,US President,NA,GRN,Jill Stein,absentee,4
Allegheny,Marshall Dist 7,US President,NA,LIB,Chase Oliver,absentee,2
Allegheny,Marshall Dist 7,US President,NA,WRI,Write-in,absentee,0
Allegheny,McCandless Ward 1 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,244
Allegheny,McCandless Ward 1 Dist 1,US President,NA,REP,Donald J. Trump,absentee,146
Allegheny,McCandless Ward 1 Dist 1,US President,NA,GRN,Jill Stein,absentee,3
Allegheny,McCandless Ward 1 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McCandless Ward 1 Dist 1,US President,NA,WRI,Write-in,absentee,2
Allegheny,McCandless Ward 1 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,173
Allegheny,McCandless Ward 1 Dist 2,US President,NA,REP,Donald J. Trump,absentee,55
Allegheny,McCandless Ward 1 Dist 2,US President,NA,GRN,Jill Stein,absentee,2
Allegheny,McCandless Ward 1 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McCandless Ward 1 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 1 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,259
Allegheny,McCandless Ward 1 Dist 3,US President,NA,REP,Donald J. Trump,absentee,142
Allegheny,McCandless Ward 1 Dist 3,US President,NA,GRN,Jill Stein,absentee,3
Allegheny,McCandless Ward 1 Dist 3,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McCandless Ward 1 Dist 3,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 2 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,336
Allegheny,McCandless Ward 2 Dist 1,US President,NA,REP,Donald J. Trump,absentee,168
Allegheny,McCandless Ward 2 Dist 1,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McCandless Ward 2 Dist 1,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McCandless Ward 2 Dist 1,US President,NA,WRI,Write-in,absentee,3
Allegheny,McCandless Ward 2 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,173
Allegheny,McCandless Ward 2 Dist 2,US President,NA,REP,Donald J. Trump,absentee,101
Allegheny,McCandless Ward 2 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McCandless Ward 2 Dist 2,US President,NA,LIB,Chase Oliver,absentee,2
Allegheny,McCandless Ward 2 Dist 2,US President,NA,WRI,Write-in,absentee,4
Allegheny,McCandless Ward 2 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,168
Allegheny,McCandless Ward 2 Dist 3,US President,NA,REP,Donald J. Trump,absentee,91
Allegheny,McCandless Ward 2 Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McCandless Ward 2 Dist 3,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McCandless Ward 2 Dist 3,US President,NA,WRI,Write-in,absentee,0
Allegheny,McCandless Ward 3 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,209
Allegheny,McCandless Ward 3 Dist 1,US President,NA,REP,Donald J. Trump,absentee,72
Allegheny,McCandless Ward 3 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McCandless Ward 3 Dist 1,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McCandless Ward 3 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McCandless Ward 3 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,203
Allegheny,McCandless Ward 3 Dist 2,US President,NA,REP,Donald J. Trump,absentee,95
Allegheny,McCandless Ward 3 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McCandless Ward 3 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McCandless Ward 3 Dist 2,US President,NA,WRI,Write-in,absentee,0
Allegheny,McCandless Ward 3 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,227
Allegheny,McCandless Ward 3 Dist 3,US President,NA,REP,Donald J. Trump,absentee,119
Allegheny,McCandless Ward 3 Dist 3,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McCandless Ward 3 Dist 3,US President,NA,LIB,Chase Oliver,absentee,6
Allegheny,McCandless Ward 3 Dist 3,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 4 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,313
Allegheny,McCandless Ward 4 Dist 1,US President,NA,REP,Donald J. Trump,absentee,153
Allegheny,McCandless Ward 4 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McCandless Ward 4 Dist 1,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McCandless Ward 4 Dist 1,US President,NA,WRI,Write-in,absentee,2
Allegheny,McCandless Ward 4 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,174
Allegheny,McCandless Ward 4 Dist 2,US President,NA,REP,Donald J. Trump,absentee,62
Allegheny,McCandless Ward 4 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McCandless Ward 4 Dist 2,US President,NA,LIB,Chase Oliver,absentee,2
Allegheny,McCandless Ward 4 Dist 2,US President,NA,WRI,Write-in,absentee,3
Allegheny,McCandless Ward 4 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,168
Allegheny,McCandless Ward 4 Dist 3,US President,NA,REP,Donald J. Trump,absentee,65
Allegheny,McCandless Ward 4 Dist 3,US President,NA,GRN,Jill Stein,absentee,4
Allegheny,McCandless Ward 4 Dist 3,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McCandless Ward 4 Dist 3,US President,NA,WRI,Write-in,absentee,3
Allegheny,McCandless Ward 5 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,133
Allegheny,McCandless Ward 5 Dist 1,US President,NA,REP,Donald J. Trump,absentee,99
Allegheny,McCandless Ward 5 Dist 1,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McCandless Ward 5 Dist 1,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McCandless Ward 5 Dist 1,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 5 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,271
Allegheny,McCandless Ward 5 Dist 2,US President,NA,REP,Donald J. Trump,absentee,123
Allegheny,McCandless Ward 5 Dist 2,US President,NA,GRN,Jill Stein,absentee,3
Allegheny,McCandless Ward 5 Dist 2,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McCandless Ward 5 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 5 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,290
Allegheny,McCandless Ward 5 Dist 3,US President,NA,REP,Donald J. Trump,absentee,106
Allegheny,McCandless Ward 5 Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McCandless Ward 5 Dist 3,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McCandless Ward 5 Dist 3,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 6 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,116
Allegheny,McCandless Ward 6 Dist 1,US President,NA,REP,Donald J. Trump,absentee,50
Allegheny,McCandless Ward 6 Dist 1,US President,NA,GRN,Jill Stein,absentee,2
Allegheny,McCandless Ward 6 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McCandless Ward 6 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McCandless Ward 6 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,227
Allegheny,McCandless Ward 6 Dist 2,US President,NA,REP,Donald J. Trump,absentee,106
Allegheny,McCandless Ward 6 Dist 2,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McCandless Ward 6 Dist 2,US President,NA,LIB,Chase Oliver,absentee,4
Allegheny,McCandless Ward 6 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 6 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,495
Allegheny,McCandless Ward 6 Dist 3,US President,NA,REP,Donald J. Trump,absentee,228
Allegheny,McCandless Ward 6 Dist 3,US President,NA,GRN,Jill Stein,absentee,4
Allegheny,McCandless Ward 6 Dist 3,US President,NA,LIB,Chase Oliver,absentee,4
Allegheny,McCandless Ward 6 Dist 3,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 7 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,368
Allegheny,McCandless Ward 7 Dist 1,US President,NA,REP,Donald J. Trump,absentee,203
Allegheny,McCandless Ward 7 Dist 1,US President,NA,GRN,Jill Stein,absentee,3
Allegheny,McCandless Ward 7 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McCandless Ward 7 Dist 1,US President,NA,WRI,Write-in,absentee,5
Allegheny,McCandless Ward 7 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,265
Allegheny,McCandless Ward 7 Dist 2,US President,NA,REP,Donald J. Trump,absentee,99
Allegheny,McCandless Ward 7 Dist 2,US President,NA,GRN,Jill Stein,absentee,4
Allegheny,McCandless Ward 7 Dist 2,US President,NA,LIB,Chase Oliver,absentee,2
Allegheny,McCandless Ward 7 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McCandless Ward 7 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,115
Allegheny,McCandless Ward 7 Dist 3,US President,NA,REP,Donald J. Trump,absentee,64
Allegheny,McCandless Ward 7 Dist 3,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McCandless Ward 7 Dist 3,US President,NA,LIB,Chase Oliver,absentee,3
Allegheny,McCandless Ward 7 Dist 3,US President,NA,WRI,Write-in,absentee,1
Allegheny,McDonald,US President,NA,DEM,Kamala D. Harris,absentee,16
Allegheny,McDonald,US President,NA,REP,Donald J. Trump,absentee,14
Allegheny,McDonald,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McDonald,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McDonald,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 1,US President,NA,DEM,Kamala D. Harris,absentee,0
Allegheny,McKeesport Ward 1,US President,NA,REP,Donald J. Trump,absentee,2
Allegheny,McKeesport Ward 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 2,US President,NA,DEM,Kamala D. Harris,absentee,18
Allegheny,McKeesport Ward 2,US President,NA,REP,Donald J. Trump,absentee,3
Allegheny,McKeesport Ward 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 2,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 3 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,26
Allegheny,McKeesport Ward 3 Dist 1,US President,NA,REP,Donald J. Trump,absentee,17
Allegheny,McKeesport Ward 3 Dist 1,US President,NA,GRN,Jill Stein,absentee,2
Allegheny,McKeesport Ward 3 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 3 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 3 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,17
Allegheny,McKeesport Ward 3 Dist 2,US President,NA,REP,Donald J. Trump,absentee,1
Allegheny,McKeesport Ward 3 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 3 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 3 Dist 2,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 4,US President,NA,DEM,Kamala D. Harris,absentee,25
Allegheny,McKeesport Ward 4,US President,NA,REP,Donald J. Trump,absentee,1
Allegheny,McKeesport Ward 4,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 4,US President,NA,LIB,Chase Oliver,absentee,2
Allegheny,McKeesport Ward 4,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 5,US President,NA,DEM,Kamala D. Harris,absentee,38
Allegheny,McKeesport Ward 5,US President,NA,REP,Donald J. Trump,absentee,9
Allegheny,McKeesport Ward 5,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McKeesport Ward 5,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 5,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 6 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,32
Allegheny,McKeesport Ward 6 Dist 1,US President,NA,REP,Donald J. Trump,absentee,9
Allegheny,McKeesport Ward 6 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 6 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 6 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 6 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,23
Allegheny,McKeesport Ward 6 Dist 2,US President,NA,REP,Donald J. Trump,absentee,5
Allegheny,McKeesport Ward 6 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 6 Dist 2,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McKeesport Ward 6 Dist 2,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 7 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,58
Allegheny,McKeesport Ward 7 Dist 1,US President,NA,REP,Donald J. Trump,absentee,14
Allegheny,McKeesport Ward 7 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 7 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 7 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 7 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,38
Allegheny,McKeesport Ward 7 Dist 2,US President,NA,REP,Donald J. Trump,absentee,2
Allegheny,McKeesport Ward 7 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 7 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 7 Dist 2,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 7 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,20
Allegheny,McKeesport Ward 7 Dist 3,US President,NA,REP,Donald J. Trump,absentee,7
Allegheny,McKeesport Ward 7 Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 7 Dist 3,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 7 Dist 3,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 7 Dist 4,US President,NA,DEM,Kamala D. Harris,absentee,28
Allegheny,McKeesport Ward 7 Dist 4,US President,NA,REP,Donald J. Trump,absentee,13
Allegheny,McKeesport Ward 7 Dist 4,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 7 Dist 4,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McKeesport Ward 7 Dist 4,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 7 Dist 5,US President,NA,DEM,Kamala D. Harris,absentee,49
Allegheny,McKeesport Ward 7 Dist 5,US President,NA,REP,Donald J. Trump,absentee,16
Allegheny,McKeesport Ward 7 Dist 5,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McKeesport Ward 7 Dist 5,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 7 Dist 5,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 7 Dist 6,US President,NA,DEM,Kamala D. Harris,absentee,34
Allegheny,McKeesport Ward 7 Dist 6,US President,NA,REP,Donald J. Trump,absentee,5
Allegheny,McKeesport Ward 7 Dist 6,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 7 Dist 6,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 7 Dist 6,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 7 Dist 7,US President,NA,DEM,Kamala D. Harris,absentee,44
Allegheny,McKeesport Ward 7 Dist 7,US President,NA,REP,Donald J. Trump,absentee,3
Allegheny,McKeesport Ward 7 Dist 7,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 7 Dist 7,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 7 Dist 7,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 8 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,24
Allegheny,McKeesport Ward 8 Dist 1,US President,NA,REP,Donald J. Trump,absentee,7
Allegheny,McKeesport Ward 8 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 8 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 8 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 8 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,82
Allegheny,McKeesport Ward 8 Dist 2,US President,NA,REP,Donald J. Trump,absentee,22
Allegheny,McKeesport Ward 8 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 8 Dist 2,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McKeesport Ward 8 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McKeesport Ward 8 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,47
Allegheny,McKeesport Ward 8 Dist 3,US President,NA,REP,Donald J. Trump,absentee,8
Allegheny,McKeesport Ward 8 Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 8 Dist 3,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 8 Dist 3,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 8 Dist 4,US President,NA,DEM,Kamala D. Harris,absentee,48
Allegheny,McKeesport Ward 8 Dist 4,US President,NA,REP,Donald J. Trump,absentee,39
Allegheny,McKeesport Ward 8 Dist 4,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 8 Dist 4,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 8 Dist 4,US President,NA,WRI,Write-in,absentee,2
Allegheny,McKeesport Ward 8 Dist 5,US President,NA,DEM,Kamala D. Harris,absentee,40
Allegheny,McKeesport Ward 8 Dist 5,US President,NA,REP,Donald J. Trump,absentee,3
Allegheny,McKeesport Ward 8 Dist 5,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 8 Dist 5,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 8 Dist 5,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 8 Dist 6,US President,NA,DEM,Kamala D. Harris,absentee,24
Allegheny,McKeesport Ward 8 Dist 6,US President,NA,REP,Donald J. Trump,absentee,12
Allegheny,McKeesport Ward 8 Dist 6,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 8 Dist 6,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 8 Dist 6,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 9 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,48
Allegheny,McKeesport Ward 9 Dist 1,US President,NA,REP,Donald J. Trump,absentee,22
Allegheny,McKeesport Ward 9 Dist 1,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McKeesport Ward 9 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 9 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 9 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,43
Allegheny,McKeesport Ward 9 Dist 2,US President,NA,REP,Donald J. Trump,absentee,12
Allegheny,McKeesport Ward 9 Dist 2,US President,NA,GRN,Jill Stein,absentee,1
Allegheny,McKeesport Ward 9 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 9 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McKeesport Ward 9 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,51
Allegheny,McKeesport Ward 9 Dist 3,US President,NA,REP,Donald J. Trump,absentee,24
Allegheny,McKeesport Ward 9 Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 9 Dist 3,US President,NA,LIB,Chase Oliver,absentee,1
Allegheny,McKeesport Ward 9 Dist 3,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 10 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,22
Allegheny,McKeesport Ward 10 Dist 1,US President,NA,REP,Donald J. Trump,absentee,4
Allegheny,McKeesport Ward 10 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 10 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 10 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 10 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,43
Allegheny,McKeesport Ward 10 Dist 2,US President,NA,REP,Donald J. Trump,absentee,14
Allegheny,McKeesport Ward 10 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 10 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 10 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McKeesport Ward 11 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,35
Allegheny,McKeesport Ward 11 Dist 1,US President,NA,REP,Donald J. Trump,absentee,22
Allegheny,McKeesport Ward 11 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 11 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 11 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 11 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,32
Allegheny,McKeesport Ward 11 Dist 2,US President,NA,REP,Donald J. Trump,absentee,24
Allegheny,McKeesport Ward 11 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 11 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 11 Dist 2,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 11 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,55
Allegheny,McKeesport Ward 11 Dist 3,US President,NA,REP,Donald J. Trump,absentee,11
Allegheny,McKeesport Ward 11 Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 11 Dist 3,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 11 Dist 3,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 12 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,43
Allegheny,McKeesport Ward 12 Dist 1,US President,NA,REP,Donald J. Trump,absentee,19
Allegheny,McKeesport Ward 12 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 12 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 12 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKeesport Ward 12 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,36
Allegheny,McKeesport Ward 12 Dist 2,US President,NA,REP,Donald J. Trump,absentee,30
Allegheny,McKeesport Ward 12 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 12 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 12 Dist 2,US President,NA,WRI,Write-in,absentee,1
Allegheny,McKeesport Ward 12 Dist 3,US President,NA,DEM,Kamala D. Harris,absentee,96
Allegheny,McKeesport Ward 12 Dist 3,US President,NA,REP,Donald J. Trump,absentee,37
Allegheny,McKeesport Ward 12 Dist 3,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKeesport Ward 12 Dist 3,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKeesport Ward 12 Dist 3,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKees Rocks Ward 1 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,6
Allegheny,McKees Rocks Ward 1 Dist 1,US President,NA,REP,Donald J. Trump,absentee,1
Allegheny,McKees Rocks Ward 1 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKees Rocks Ward 1 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKees Rocks Ward 1 Dist 1,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKees Rocks Ward 1 Dist 2,US President,NA,DEM,Kamala D. Harris,absentee,55
Allegheny,McKees Rocks Ward 1 Dist 2,US President,NA,REP,Donald J. Trump,absentee,21
Allegheny,McKees Rocks Ward 1 Dist 2,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKees Rocks Ward 1 Dist 2,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKees Rocks Ward 1 Dist 2,US President,NA,WRI,Write-in,absentee,0
Allegheny,McKees Rocks Ward 2 Dist 1,US President,NA,DEM,Kamala D. Harris,absentee,59
Allegheny,McKees Rocks Ward 2 Dist 1,US President,NA,REP,Donald J. Trump,absentee,10
Allegheny,McKees Rocks Ward 2 Dist 1,US President,NA,GRN,Jill Stein,absentee,0
Allegheny,McKees Rocks Ward 2 Dist 1,US President,NA,LIB,Chase Oliver,absentee,0
Allegheny,McKees Rocks Ward 2 Dist 1,US President,NA,WRI,Write-in,absentee,1
